# Matter power spectrum P(k) at redshift z=0
# for k=1.02888e-05 to 7545.77 h/Mpc,
# number of wavenumbers equal to 857
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.078277274976e+01       3.018884591607e-02 
       2.126686571499e+01       2.838749049823e-02 
       2.176223465392e+01       2.669208913180e-02 
       2.226914221773e+01       2.509799048900e-02 
       2.278785717551e+01       2.359756236828e-02 
       2.331865455679e+01       2.218631944538e-02 
       2.386181579738e+01       2.085824539517e-02 
       2.441762888855e+01       1.960921901978e-02 
       2.498638852977e+01       1.843453740153e-02 
       2.556839628491e+01       1.732915415344e-02 
       2.616396074221e+01       1.628947127235e-02 
       2.677339767781e+01       1.531219633758e-02 
       2.739703022325e+01       1.439249640117e-02 
       2.803518903676e+01       1.352780993432e-02 
       2.868821247858e+01       1.271446533063e-02 
       2.935644679039e+01       1.194959860136e-02 
       3.004024627887e+01       1.123045646461e-02 
       3.073997350356e+01       1.055407137244e-02 
       3.145599946909e+01       9.918058532612e-03 
